,Store Number,City,2015 Sales,2015 Sales_mean,County_Number,Price_per_Liter_mean,Zip_Code,2015_Volume_Sold_(Liters),2015_Volume_Sold_(Liters)_mean,2015_Margin_mean,2015_Sales_Q1,2016_Sales_Q1
703,4518,WEST DES MOINES,225.75,8.36111111111,3346.04,123.927407407,77,15.6859259259,41.6296296296,50266,739.88,538.32
704,4519,WEST DES MOINES,316.5,8.79166666667,4604.98,127.916111111,77,15.0872089947,43.0291666667,50266,1083.54,834.84
705,4520,HUXLEY,262.5,9.72222222222,3817.14,141.375555556,85,15.4687830688,47.2066666667,50124,1035.12,604.25
706,4521,GRAND JUNCTION,256.5,13.5,2893.69,152.299473684,37,18.1920802005,51.3494736842,50107,990.98,1237.64
707,4522,MONROE,219.96,4.888,2523.07,56.0682222222,50,16.1651500619,18.7257777778,50170,588.71,539.16
708,4523,EXIRA,273.0,14.3684210526,2869.68,151.035789474,5,11.7572681704,50.5294736842,50076,768.96,959.01
709,4524,NORA SPRINGS,309.86,7.37761904762,4288.75,102.113095238,34,18.8827806122,34.2085714286,50458,775.5,551.0
710,4525,AKRON,343.38,6.13178571429,4315.29,77.05875,75,17.007670068,25.8382142857,51001,1249.34,689.22
711,4527,GILMORE CITY,165.0,11.7857142857,1474.8,105.342857143,46,12.8132653061,35.1428571429,50541,578.82,138.6
712,4528,MARSHALLTOWN,157.8,7.51428571429,2405.7,114.557142857,64,17.4666666667,38.4628571429,50158,896.16,1976.08
713,4529,BUFFALO CENTER,124.5,12.45,1413.18,141.318,95,12.0262857143,47.124,50424,359.16,551.4
714,4530,ELY,320.55,8.43552631579,4140.64,108.964210526,57,14.5009210526,36.5997368421,52227,1449.16,2240.13
715,4531,AFTON,214.5,21.45,2723.76,272.376,88,18.3662857143,91.248,50830,729.12,277.68
716,4535,DUBUQUE,267.75,8.63709677419,3801.82,122.639354839,31,16.7056682028,40.9893548387,52001,916.18,755.16
717,4536,DUBUQUE,149.05,5.73269230769,1825.69,70.2188461538,31,14.7668498168,23.77,52003,141.0,745.87
718,4537,LEON,199.5,9.06818181818,2691.18,122.326363636,27,14.1232467532,40.9109090909,50144,1381.56,1061.7
719,4538,CLARKSVILLE,275.25,13.1071428571,3366.81,160.324285714,12,12.8976870748,53.5823809524,50619,816.75,571.2
720,4539,SCRANTON,109.8,6.8625,1370.6,85.6625,37,14.7299181548,28.56875,51462,121.44,469.89
721,4540,BELLEVUE,182.45,6.75740740741,2690.62,99.6525925926,49,16.8723368607,33.3574074074,52031,621.2,1273.8
722,4543,MARION,144.3,8.48823529412,2639.66,155.274117647,57,21.2326610644,52.1764705882,52302,1148.16,1875.89
723,4544,OSCEOLA,209.4,11.6333333333,2567.04,142.613333333,20,14.2417460317,47.5666666667,50213,737.28,2960.6
724,4545,COUNCIL BLUFFS,567.77,5.97652631579,9218.81,97.0401052632,78,19.7179273716,32.3774736842,51503,3141.54,2688.07
725,4546,GLIDDEN,206.18,6.24787878788,3096.97,93.8475757576,14,16.9509326571,31.3351515152,51443,483.34,1158.93
726,4547,HAMPTON,416.5,7.0593220339,4908.65,83.1974576271,35,12.7800161421,27.7833898305,50441,1273.68,1594.69
727,4548,WALKER,258.0,14.3333333333,2512.82,139.601111111,57,12.0437301587,46.8144444444,52352,660.9,1158.6
728,4549,COLO,289.5,13.1590909091,3042.18,138.280909091,85,12.1071428571,46.11,50056,678.24,712.34
729,4551,URBANA,212.0,9.63636363636,2265.65,102.984090909,6,13.5675324675,34.5031818182,52345,546.68,985.71
730,4552,BUFFALO,325.25,12.0462962963,4106.48,152.091851852,82,15.6658730159,50.9503703704,52728,938.76,2613.96
